ENS_ID,Gene_name,Chromosome
ENSG00000272161,ENSG00000272161,1
ENSG00000292993,ENSG00000292993,1
ENSG00000269896,ENSG00000269896,1
ENSG00000272420,ENSG00000272420,1
ENSG00000295371,ENSG00000295371,1
ENSG00000157916,RER1,1
ENSG00000157911,PEX10,1
ENSG00000149527,PLCH2,1
ENSG00000224387,ENSG00000224387,1
ENSG00000229393,ENSG00000229393,1
ENSG00000157881,PANK4,1
ENSG00000197921,HES5,1
ENSG00000272449,ENSG00000272449,1
ENSG00000238164,TNFRSF14-AS1,1
ENSG00000307979,ENSG00000307979,1
ENSG00000157873,TNFRSF14,1
ENSG00000225931,RP3-395M20.7,1
ENSG00000307958,ENSG00000307958,1
ENSG00000228037,ENSG00000228037,1
ENSG00000289610,ENSG00000289610,1
ENSG00000157870,PRXL2B,1
ENSG00000142606,MMEL1,1
ENSG00000237058,MMEL1-AS1,1
ENSG00000215912,TTC34,1
ENSG00000285945,ENSG00000285945,1
ENSG00000283259,ENSG00000283259,1
ENSG00000233234,ENSG00000233234,1
ENSG00000287396,LOC124903825,1
ENSG00000231630,ENSG00000231630,1
ENSG00000302855,ENSG00000302855,1
ENSG00000295089,ENSG00000295089,1
ENSG00000300015,ENSG00000300015,1
ENSG00000284745,ENSG00000284745,1
ENSG00000169717,ACTRT2,1
ENSG00000177133,PRDM16-DT,1
ENSG00000142611,PRDM16,1
ENSG00000283572,MIR4251,1
ENSG00000226286,ENSG00000226286,1
ENSG00000306427,ENSG00000306427,1
ENSG00000279839,ENSG00000279839,1
ENSG00000306439,ENSG00000306439,1
ENSG00000272235,ENSG00000272235,1
ENSG00000287828,ENSG00000287828,1
ENSG00000286518,ENSG00000286518,1
ENSG00000295754,ENSG00000295754,1
ENSG00000297626,ENSG00000297626,1
ENSG00000130762,ARHGEF16,1
ENSG00000272088,ENSG00000272088,1
ENSG00000162591,MEGF6,1
ENSG00000207776,MIR551A,1
ENSG00000309127,ENSG00000309127,1
ENSG00000238260,ENSG00000238260,1
ENSG00000158109,TPRG1L,1
ENSG00000116213,WRAP73,1
ENSG00000078900,TP73,1
ENSG00000227589,TP73-AS3,1
ENSG00000235131,TP73-AS2,1
ENSG00000293478,GFOD3P,1
ENSG00000276189,ENSG00000276189,1
ENSG00000227372,GFOD3P,1
ENSG00000162592,CCDC27,1
ENSG00000296834,ENSG00000296834,1
ENSG00000235169,SMIM1,1
ENSG00000130764,LRRC47,1
ENSG00000266075,RN7SL574P,1
ENSG00000272153,ENSG00000272153,1
ENSG00000116198,CEP104,1
ENSG00000169598,DFFB,1
ENSG00000198912,C1orf174,1
ENSG00000236423,LINC01134,1
ENSG00000233304,LINC01346,1
ENSG00000226374,LINC01345,1
ENSG00000284668,LINC02780,1
ENSG00000284703,ENSG00000284703,1
ENSG00000296871,ENSG00000296871,1
ENSG00000308587,ENSG00000308587,1
ENSG00000229280,EEF1DP6,1
ENSG00000301255,ENSG00000301255,1
ENSG00000299169,ENSG00000299169,1
ENSG00000302287,ENSG00000302287,1
ENSG00000235054,LINC01777,1
ENSG00000306535,ENSG00000306535,1
ENSG00000284694,ENSG00000284694,1
ENSG00000299517,ENSG00000299517,1
ENSG00000227169,ENSG00000227169,1
ENSG00000295490,ENSG00000295490,1
ENSG00000232596,LINC01646,1
ENSG00000300565,ENSG00000300565,1
ENSG00000303830,ENSG00000303830,1
ENSG00000196581,AJAP1,1
ENSG00000287586,ENSG00000287586,1
ENSG00000284739,ENSG00000284739,1
ENSG00000284674,LINC02781,1
ENSG00000309102,ENSG00000309102,1
ENSG00000309111,ENSG00000309111,1
ENSG00000231510,LINC02782,1
ENSG00000296716,ENSG00000296716,1
ENSG00000302269,ENSG00000302269,1
ENSG00000306645,ENSG00000306645,1
ENSG00000284616,ENSG00000284616,1
ENSG00000302445,ENSG00000302445,1
ENSG00000302452,ENSG00000302452,1
ENSG00000295735,ENSG00000295735,1
ENSG00000284692,ENSG00000284692,1
ENSG00000284666,ENSG00000284666,1
ENSG00000260972,ENSG00000260972,1
ENSG00000299325,ENSG00000299325,1
ENSG00000283356,ENSG00000283356,1
ENSG00000289893,ENSG00000289893,1
ENSG00000264341,ENSG00000264341,1
ENSG00000295108,ENSG00000295108,1
ENSG00000295122,ENSG00000295122,1
ENSG00000298180,ENSG00000298180,1
ENSG00000264101,MIR4689,1
ENSG00000131697,NPHP4,1
ENSG00000299539,ENSG00000299539,1
ENSG00000069424,KCNAB2,1
ENSG00000116254,CHD5,1
ENSG00000285629,ENSG00000285629,1
ENSG00000116251,RPL22,1
ENSG00000226944,RNF207-AS1,1
ENSG00000158286,RNF207,1
ENSG00000116237,ICMT,1
ENSG00000225077,ICMT-DT,1
ENSG00000173673,HES3,1
ENSG00000158292,GPR153,1
ENSG00000097021,ACOT7,1
ENSG00000271746,ENSG00000271746,1
ENSG00000069812,HES2,1
ENSG00000187017,ESPN,1
ENSG00000265392,MIR4252,1
ENSG00000231868,ENSG00000231868,1
ENSG00000215788,TNFRSF25,1
ENSG00000171680,PLEKHG5,1
ENSG00000297749,ENSG00000297749,1
ENSG00000299237,ENSG00000299237,1
ENSG00000299253,ENSG00000299253,1
ENSG00000162408,NOL9,1
ENSG00000253022,RNU6-731P,1
ENSG00000229519,ENSG00000229519,1
ENSG00000173662,TAS1R1,1
ENSG00000204859,ZBTB48,1
ENSG00000162413,KLHL21,1
ENSG00000295286,ENSG00000295286,1
ENSG00000304810,ENSG00000304810,1
ENSG00000116273,PHF13,1
ENSG00000041988,THAP3,1
ENSG00000007923,DNAJC11,1
ENSG00000228750,LINC01672,1
ENSG00000284744,ENSG00000284744,1
ENSG00000237436,CAMTA1-DT,1
ENSG00000171735,CAMTA1,1
ENSG00000227950,RPL37P9,1
ENSG00000237365,CAMTA1-AS3,1
ENSG00000207056,RNU1-8P,1
ENSG00000310450,ENSG00000310450,1
ENSG00000237402,CAMTA1-IT1,1
ENSG00000237728,CAMTA1-AS2,1
ENSG00000294314,ENSG00000294314,1
ENSG00000225126,CAMTA1-AS1,1
ENSG00000298973,ENSG00000298973,1
ENSG00000306883,ENSG00000306883,1
ENSG00000302704,ENSG00000302704,1
ENSG00000270171,ENSG00000270171,1
ENSG00000270035,ENSG00000270035,1
ENSG00000269978,ENSG00000269978,1
ENSG00000300603,ENSG00000300603,1
ENSG00000049245,VAMP3,1
ENSG00000269925,ENSG00000269925,1
ENSG00000049246,PER3,1
ENSG00000236266,ENSG00000236266,1
ENSG00000049247,UTS2,1
ENSG00000302605,ENSG00000302605,1
ENSG00000049249,TNFRSF9,1
ENSG00000270330,ENSG00000270330,1
ENSG00000116288,PARK7,1
ENSG00000299004,ENSG00000299004,1
ENSG00000200344,Y_RNA,1
ENSG00000284747,ENSG00000284747,1
ENSG00000284716,ENSG00000284716,1
ENSG00000116285,ERRFI1,1
ENSG00000238290,ERRFI1-DT,1
ENSG00000232848,RPL7AP18,1
ENSG00000301325,ENSG00000301325,1
ENSG00000227634,LINC01714,1
ENSG00000229305,EIF2S3P1,1
ENSG00000301344,ENSG00000301344,1
ENSG00000200975,RNU1-7P,1
ENSG00000233645,ENSG00000233645,1
ENSG00000298156,ENSG00000298156,1
ENSG00000301025,ENSG00000301025,1
ENSG00000301006,ENSG00000301006,1
ENSG00000251977,RNU6-991P,1
ENSG00000162426,SLC45A1,1
ENSG00000252254,Y_RNA,1
ENSG00000142599,RERE,1
ENSG00000232912,RERE-AS1,1
ENSG00000221083,LOC124900452,1
ENSG00000270282,ENSG00000270282,1
ENSG00000234619,RPL7P11,1
ENSG00000224315,RPL7P7,1
ENSG00000303676,ENSG00000303676,1
ENSG00000222511,Y_RNA,1
ENSG00000226545,RPL27P3,1
ENSG00000228423,ENSG00000228423,1
ENSG00000229716,RPL23AP19,1
ENSG00000074800,ENO1,1
ENSG00000274258,MIR6728,1
ENSG00000230679,ENO1-AS1,1
ENSG00000201725,RNU6-304P,1
ENSG00000238249,HMGN2P17,1
ENSG00000310107,ENSG00000310107,1
ENSG00000232208,ENSG00000232208,1
ENSG00000232663,ENSG00000232663,1
ENSG00000310124,ENSG00000310124,1
ENSG00000131686,CA6,1
ENSG00000290109,ENSG00000290109,1
ENSG00000265141,RN7SL451P,1
ENSG00000197241,SLC2A7,1
ENSG00000142583,SLC2A5,1
ENSG00000252404,LOC124900441,1
ENSG00000180758,GPR157,1
ENSG00000228526,MIR34AHG,1
ENSG00000284357,MIR34A,1
ENSG00000289914,ENSG00000289914,1
ENSG00000302015,ENSG00000302015,1
ENSG00000234546,LNCTAM34A,1
ENSG00000301983,ENSG00000301983,1
ENSG00000301968,ENSG00000301968,1
ENSG00000049239,H6PD,1
ENSG00000302217,ENSG00000302217,1
ENSG00000171621,SPSB1,1
ENSG00000294252,ENSG00000294252,1
ENSG00000296073,ENSG00000296073,1
ENSG00000296056,ENSG00000296056,1
ENSG00000307568,ENSG00000307568,1
ENSG00000284652,ENSG00000284652,1
ENSG00000284693,LINC02606,1
ENSG00000252956,RNA5SP40,1
ENSG00000301013,ENSG00000301013,1
ENSG00000301030,ENSG00000301030,1
ENSG00000306844,ENSG00000306844,1
ENSG00000296249,ENSG00000296249,1
ENSG00000235263,ENSG00000235263,1
ENSG00000171612,SLC25A33,1
ENSG00000231181,RPL9P11,1
ENSG00000188807,TMEM201,1
ENSG00000307011,ENSG00000307011,1
ENSG00000171608,PIK3CD,1
ENSG00000179840,PIK3CD-AS1,1
ENSG00000233268,ENSG00000233268,1
ENSG00000301080,ENSG00000301080,1
ENSG00000231789,PIK3CD-AS2,1
ENSG00000171603,CLSTN1,1
ENSG00000271264,MZT1P1,1
ENSG00000280113,ENSG00000280113,1
ENSG00000178585,CTNNBIP1,1
ENSG00000223989,CTNNBIP1-AS1,1
ENSG00000285701,ENSG00000285701,1
ENSG00000228150,ENSG00000228150,1
ENSG00000162441,LZIC,1
ENSG00000173614,NMNAT1,1
ENSG00000202415,RN7SKP269,1
ENSG00000283611,TMEM274P,1
ENSG00000265521,MIR5697,1
ENSG00000241326,ENSG00000241326,1
ENSG00000162444,RBP7,1
ENSG00000130939,UBE4B,1
ENSG00000224340,RPL21P21,1
ENSG00000233623,PGAM1P11,1
ENSG00000201746,RNU6-828P,1
ENSG00000054523,KIF1B,1
ENSG00000264881,ENSG00000264881,1
ENSG00000199562,RNU6-37P,1
ENSG00000264501,RN7SL731P,1
ENSG00000284735,ENSG00000284735,1
ENSG00000284642,ENSG00000284642,1
ENSG00000142657,PGD,1
ENSG00000271989,ENSG00000271989,1
ENSG00000251503,CENPS-CORT,1
ENSG00000175279,CENPS,1
ENSG00000241563,CORT,1
ENSG00000160049,DFFA,1
ENSG00000203469,ENSG00000203469,1
ENSG00000142655,PEX14,1
ENSG00000307253,ENSG00000307253,1
ENSG00000287727,ENSG00000287727,1
ENSG00000243267,RN7SL614P,1
ENSG00000130940,CASZ1,1
ENSG00000272078,ENSG00000272078,1
ENSG00000298629,ENSG00000298629,1
ENSG00000308013,ENSG00000308013,1
ENSG00000307983,ENSG00000307983,1
ENSG00000307999,ENSG00000307999,1
ENSG00000225158,HSPE1P24,1
ENSG00000308257,ENSG00000308257,1
ENSG00000175262,CIROZ,1
ENSG00000215785,CFL1P6,1
ENSG00000120948,TARDBP,1
ENSG00000009724,MASP2,1
ENSG00000116649,SRM,1
ENSG00000230337,EXOSC10-AS1,1
ENSG00000171824,EXOSC10,1
ENSG00000198793,MTOR,1
ENSG00000225602,MTOR-AS1,1
ENSG00000253086,RNU6-537P,1
ENSG00000171819,ANGPTL7,1
ENSG00000207451,RNU6-291P,1
ENSG00000238173,RPL39P6,1
ENSG00000309051,ENSG00000309051,1
ENSG00000120942,UBIAD1,1
ENSG00000238199,UBE2V2P3,1
ENSG00000284646,ENSG00000284646,1
ENSG00000302153,ENSG00000302153,1
ENSG00000302176,ENSG00000302176,1
ENSG00000224338,MTCYBP45,1
ENSG00000299102,ENSG00000299102,1
ENSG00000204624,DISP3,1
ENSG00000285833,ENSG00000285833,1
ENSG00000303300,ENSG00000303300,1
ENSG00000235643,LINC01647,1
ENSG00000284708,ENSG00000284708,1
ENSG00000116661,FBXO2,1
ENSG00000132879,FBXO44,1
ENSG00000116670,MAD2L2,1
ENSG00000116663,FBXO6,1
ENSG00000162490,DRAXIN,1
ENSG00000301523,ENSG00000301523,1
ENSG00000305789,ENSG00000305789,1
ENSG00000177674,AGTRAP,1
ENSG00000215910,C1orf167,1
ENSG00000177553,C1orf167-AS1,1
ENSG00000177000,MTHFR,1
ENSG00000011021,CLCN6,1
ENSG00000276470,ENSG00000276470,1
ENSG00000278852,ENSG00000278852,1
ENSG00000175206,NPPA,1
ENSG00000275915,ENSG00000275915,1
ENSG00000120937,NPPB,1
ENSG00000224904,SBF1P2,1
ENSG00000285646,ENSG00000285646,1
ENSG00000199347,RNU5E-1,1
ENSG00000201801,RNU5E-4P,1
ENSG00000116685,KIAA2013,1
ENSG00000083444,PLOD1,1
ENSG00000287384,ENSG00000287384,1
ENSG00000116688,MFN2,1
ENSG00000270914,ENSG00000270914,1
ENSG00000116691,MIIP,1
ENSG00000202461,Y_RNA,1
ENSG00000276869,MIR6729,1
ENSG00000243539,RN7SL649P,1
ENSG00000120949,TNFRSF8,1
ENSG00000201135,RNU6-777P,1
ENSG00000227875,RPL23AP89,1
ENSG00000285604,ENSG00000285604,1
ENSG00000294285,ENSG00000294285,1
ENSG00000301863,ENSG00000301863,1
ENSG00000283789,MIR7846,1
ENSG00000028137,TNFRSF1B,1
ENSG00000296888,ENSG00000296888,1
ENSG00000263676,MIR4632,1
ENSG00000297053,ENSG00000297053,1
ENSG00000225196,RPL10P17,1
ENSG00000252969,SNORA70,1
ENSG00000048707,VPS13D,1
ENSG00000295309,ENSG00000295309,1
ENSG00000239149,SNORA59A,1
ENSG00000229484,LINC02766,1
ENSG00000309694,ENSG00000309694,1
ENSG00000162496,DHRS3,1
ENSG00000221340,RNU6ATAC18P,1
ENSG00000276830,MIR6730,1
ENSG00000305650,ENSG00000305650,1
ENSG00000288927,ENSG00000288927,1
ENSG00000204518,AADACL4,1
ENSG00000226166,ENSG00000226166,1
ENSG00000188984,AADACL3,1
ENSG00000157330,CFAP107,1
ENSG00000116726,PRAMEF12,1
ENSG00000116721,PRAMEF1,1
ENSG00000228338,LINC01784,1
ENSG00000239810,PRAMEF11,1
ENSG00000231103,PRAMEF30P,1
ENSG00000179172,HNRNPCL1,1
ENSG00000120952,PRAMEF2,1
ENSG00000243073,PRAMEF4,1
ENSG00000296105,ENSG00000296105,1
ENSG00000187545,PRAMEF10,1
ENSG00000204510,PRAMEF7,1
ENSG00000207434,RNU6-1072P,1
ENSG00000234064,PRAMEF29P,1
ENSG00000232423,PRAMEF6,1
ENSG00000274178,PRAMEF28P,1
ENSG00000274764,PRAMEF27,1
ENSG00000277058,HNRNPCL3,1
ENSG00000229571,PRAMEF25,1
ENSG00000277862,PRAMEF34P,1
ENSG00000236179,PRAMEF35P,1
ENSG00000275774,HNRNPCL2,1
ENSG00000290772,PRAMEF36P,1
ENSG00000229978,PRAMEF36P,1
ENSG00000297821,ENSG00000297821,1
ENSG00000233336,ENSG00000233336,1
ENSG00000280267,PRAMEF26,1
ENSG00000179412,HNRNPCL4,1
ENSG00000204505,PRAMEF9,1
ENSG00000279169,PRAMEF13,1
ENSG00000279804,PRAMEF18,1
ENSG00000295394,ENSG00000295394,1
ENSG00000250894,PRAMEF31P,1
ENSG00000270601,PRAMEF5,1
ENSG00000231219,PRAMEF32P,1
ENSG00000207511,RNU6-771P,1
ENSG00000182330,PRAMEF8,1
ENSG00000237700,PRAMEF33,1
ENSG00000204501,PRAMEF15,1
ENSG00000228229,ENSG00000228229,1
ENSG00000204481,PRAMEF14,1
ENSG00000204480,PRAMEF19,1
ENSG00000204479,PRAMEF17,1
ENSG00000204478,PRAMEF20,1
ENSG00000307992,ENSG00000307992,1
ENSG00000295011,ENSG00000295011,1
ENSG00000162494,LRRC38,1
ENSG00000301663,ENSG00000301663,1
ENSG00000259961,LOC107984918,1
ENSG00000215909,BRWD1P1,1
ENSG00000162493,PDPN,1
ENSG00000222952,RNA5SP41,1
ENSG00000237445,ENSG00000237445,1
ENSG00000295237,ENSG00000295237,1
ENSG00000253085,LOC124900446,1
ENSG00000116731,PRDM2,1
ENSG00000289380,ENSG00000289380,1
ENSG00000304226,ENSG00000304226,1
ENSG00000189337,KAZN,1
ENSG00000252151,RNU6-1265P,1
ENSG00000231606,ENSG00000231606,1
ENSG00000234593,KAZN-AS1,1
ENSG00000302124,ENSG00000302124,1
ENSG00000235829,TBCAP2,1
ENSG00000287756,ENSG00000287756,1
ENSG00000294214,ENSG00000294214,1
ENSG00000294586,ENSG00000294586,1
ENSG00000293964,ENSG00000293964,1
ENSG00000175147,TMEM51-AS1,1
ENSG00000310342,ENSG00000310342,1
ENSG00000171729,TMEM51,1
ENSG00000204464,TMEM51-AS2,1
ENSG00000215720,MFFP1,1
ENSG00000278480,ZBTB2P1,1
ENSG00000142621,FHAD1,1
ENSG00000228140,EFHD2-AS1,1
ENSG00000233485,FHAD1-AS1,1
ENSG00000236045,ENSG00000236045,1
ENSG00000142634,EFHD2,1
ENSG00000162438,CTRC,1
ENSG00000142615,CELA2A,1
ENSG00000215704,CELA2B,1
ENSG00000132906,CASP9,1
ENSG00000116138,DNAJC16,1
ENSG00000251866,SCARNA21B,1
ENSG00000272510,ENSG00000272510,1
ENSG00000116771,AGMAT,1
ENSG00000237301,ENSG00000237301,1
ENSG00000235084,CHCHD2P6,1
ENSG00000252417,RNU7-179P,1
ENSG00000294489,ENSG00000294489,1
ENSG00000236500,CD24P1,1
ENSG00000197312,DDI2,1
ENSG00000215695,RSC1A1,1
ENSG00000116786,PLEKHM2,1
ENSG00000271742,ENSG00000271742,1
ENSG00000237938,ENSG00000237938,1
ENSG00000162461,SLC25A34,1
ENSG00000224459,SLC25A34-AS1,1
ENSG00000162460,TMEM82,1
ENSG00000297277,ENSG00000297277,1
ENSG00000162458,FBLIM1,1
ENSG00000179743,SPEN-AS1,1
ENSG00000224321,RPL12P14,1
ENSG00000233954,UQCRHL,1
ENSG00000178715,RPS16P1,1
ENSG00000065526,SPEN,1
ENSG00000270620,ENSG00000270620,1
ENSG00000116809,ZBTB17,1
ENSG00000234607,ENSG00000234607,1
ENSG00000231353,ENSG00000231353,1
ENSG00000275503,ENSG00000275503,1
ENSG00000224966,TBC1D3P6,1
ENSG00000183888,SRARP,1
ENSG00000233078,ENSG00000233078,1
ENSG00000173641,HSPB7,1
ENSG00000186510,CLCNKA,1
ENSG00000307216,ENSG00000307216,1
ENSG00000232456,FAM131C2P,1
ENSG00000184908,CLCNKB,1
ENSG00000185519,FAM131C,1
ENSG00000142627,EPHA2,1
ENSG00000227959,EPHA2-AS1,1
ENSG00000297531,ENSG00000297531,1
ENSG00000142632,ARHGEF19,1
ENSG00000291077,ENSG00000291077,1
ENSG00000237276,ANO7L1,1
ENSG00000288398,ENSG00000288398,1
ENSG00000132881,CPLANE2,1
ENSG00000293791,ENSG00000293791,1
ENSG00000233929,MT1XP1,1
ENSG00000037637,FBXO42,1
ENSG00000055070,SZRD1,1
ENSG00000226457,RPL22P3,1
ENSG00000187144,SPATA21,1
ENSG00000157191,NECAP2,1
ENSG00000290842,CROCCP3,1
ENSG00000226029,LINC01772,1
ENSG00000080947,CROCCP3,1
ENSG00000306228,ENSG00000306228,1
ENSG00000206652,RNU1-1,1
ENSG00000224174,ENSG00000224174,1
ENSG00000233421,LINC01783,1
ENSG00000277344,RNU1-6P,1
ENSG00000298308,ENSG00000298308,1
ENSG00000225710,PDE4DIPP8,1
ENSG00000219481,NBPF1,1
ENSG00000271732,ENSG00000271732,1
ENSG00000291072,ENSG00000291072,1
ENSG00000215908,CROCCP2,1
ENSG00000283773,ENSG00000283773,1
ENSG00000293920,ENSG00000293920,1
ENSG00000293901,ENSG00000293901,1
ENSG00000186301,MST1P2,1
ENSG00000282143,ENSG00000282143,1
ENSG00000207513,RNU1-3,1
ENSG00000280114,ENSG00000280114,1
ENSG00000290849,ENSG00000290849,1
ENSG00000236698,EIF1AXP1,1
ENSG00000296694,ENSG00000296694,1
ENSG00000268869,ESPNP,1
ENSG00000279151,ENSG00000279151,1
ENSG00000293526,ENSG00000293526,1
ENSG00000282740,LOC124903859,1
ENSG00000058453,CROCC,1
ENSG00000290850,ENSG00000290850,1
ENSG00000207389,RNU1-4,1
ENSG00000227684,CROCCP4,1
